氏名	打率	試合	打数	打席	安打	二塁	三塁	本塁打	塁打	打点	得点	三振	四球	死球	犠打	犠飛	盗塁	盗塁死	併殺打	出塁率	長打率	OPS	得点率	失策
宮﨑　敏郎	0.338	82	334	305	103	17	1	8	146	42	31	30	26	3	0	0	0	0	17	0.395	0.479	0.874	0.333	4
坂本　勇人	0.334	96	413	365	122	24	0	12	182	50	60	59	44	2	0	2	11	3	9	0.407	0.499	0.905	0.378	5
大島　洋平	0.316	98	431	396	125	18	2	2	153	26	39	50	29	2	1	3	18	5	5	0.363	0.386	0.749	0.365	2
ロペス	0.312	95	407	385	120	30	0	21	213	75	50	59	14	2	0	6	0	0	7	0.334	0.553	0.887	0.327	5
マギー	0.309	93	383	343	106	34	1	12	178	48	40	74	37	1	0	2	4	0	11	0.376	0.519	0.895	0.326	8
丸　佳浩	0.308	99	455	389	120	27	3	17	204	68	74	82	57	3	1	5	10	1	4	0.396	0.524	0.921	0.336	1
安部　友裕	0.307	91	335	306	94	11	3	1	114	32	49	69	20	1	7	1	14	2	2	0.351	0.373	0.723	0.304	8
鈴木　誠也	0.301	99	443	385	116	25	1	22	209	79	71	75	47	5	0	6	13	4	10	0.379	0.543	0.922	0.302	5
田中　広輔	0.296	99	474	402	119	22	5	3	160	43	72	83	58	6	4	4	22	9	3	0.389	0.398	0.787	0.291	14
鳥谷　敬	0.2893	95	374	318	92	11	2	2	113	30	39	41	51	2	1	2	7	6	11	0.389	0.355	0.744	0.269	6
桑原　将志	0.2889	96	449	398	115	27	4	12	186	39	65	72	36	9	6	0	9	10	5	0.361	0.467	0.829	0.29	3
菊池　涼介	0.286	94	437	391	112	20	2	11	169	48	61	72	21	0	24	1	5	6	6	0.322	0.432	0.754	0.302	5
エルドレッド	0.284	88	326	278	79	9	0	23	157	67	34	83	39	6	0	3	0	0	6	0.38	0.565	0.945	0.365	1
坂口　智隆	0.282	91	412	362	102	11	2	3	126	29	37	54	39	4	5	2	4	1	3	0.356	0.348	0.704	0.301	1
筒香　嘉智	0.2804	92	397	328	92	20	0	15	157	59	50	74	64	2	0	3	1	0	4	0.398	0.479	0.877	0.269	0
ゲレーロ	0.2801	93	365	332	93	14	3	28	197	62	47	76	19	12	0	2	0	0	10	0.34	0.593	0.933	0.256	4
バレンティン	0.279	81	334	287	80	8	1	22	156	51	41	68	43	3	0	1	0	1	10	0.377	0.544	0.921	0.225	6
京田　陽太	0.277	97	402	375	104	13	6	2	135	22	48	71	11	6	9	1	17	8	4	0.308	0.36	0.668	0.23	10
上本　博紀	0.276	86	347	294	81	15	1	6	116	28	38	47	33	3	15	2	11	1	4	0.352	0.395	0.747	0.255	4
糸井　嘉男	0.268	76	321	272	73	6	0	8	103	42	37	46	44	3	0	2	10	4	9	0.374	0.379	0.753	0.319	1
長野　久義	0.261	90	349	314	82	14	3	10	132	26	33	66	30	3	1	1	6	0	12	0.33	0.42	0.751	0.186	1
阿部　慎之助	0.259	85	331	294	76	9	0	12	121	50	28	49	28	5	0	4	0	1	8	0.329	0.412	0.741	0.301	4
倉本　寿彦	0.2573	96	365	342	88	15	0	1	106	27	36	67	12	3	8	0	3	0	5	0.289	0.31	0.598	0.329	11
髙山　俊	0.2566	89	324	300	77	14	2	5	110	23	36	70	20	3	0	1	5	3	2	0.309	0.367	0.675	0.197	2
梶谷　隆幸	0.256	90	392	356	91	22	2	12	153	43	57	107	33	1	0	2	14	3	8	0.319	0.43	0.749	0.233	0
ビシエド	0.253	79	333	304	77	11	0	18	142	48	39	47	25	3	0	1	4	0	9	0.315	0.467	0.782	0.216	4
福留　孝介	0.252	87	354	301	76	11	1	10	119	42	41	64	49	2	1	1	1	2	15	0.36	0.395	0.755	0.227	2
中村　悠平	0.247	84	324	275	68	10	3	1	87	23	27	43	29	8	9	3	1	0	9	0.333	0.316	0.65	0.214	1
山田　哲人	0.23	98	433	365	84	15	1	16	149	53	59	88	63	4	0	1	12	4	12	0.349	0.408	0.757	0.267	5
小林　誠司	0.205	93	304	264	54	7	0	0	61	16	11	43	23	2	13	2	2	0	8	0.271	0.231	0.503	0.2	4
